dork,url
inurl:index.php?id= site:com,https://www.bsnmedical.com/index.php?id=174
inurl:index.php?id= site:com,https://www.rememberabigail.com/endofslavery/index.php?id=57
inurl:index.php?id= site:com,http://www.ethanmccardell.com/honorcode/index.php?id=952547
inurl:index.php?id= site:com,https://www.swissport.com/index.php?id=4&level=country&continentId=1&countryId=44
inurl:index.php?id= site:com,https://www.sata.com/index.php?id=hvlppistolen&L=11
inurl:index.php?id= site:com,https://searchfeed.seccint.com/v2/click/?gd=SY1001284&uid=&sid=&q=aum%20undergraduate%20catalog&searchProvider=2&searchSource=80&searchTagId=ptvl!%3D!tracingTag%253DC0%2526tracingTag%253DM1%2526tracingTag%253DL1%2526tracingTag%253DN1!%26!ptnvls!%3D!%257B%257D!%26!ptvls!%3D!%257B%2522C%2522%253A%25220%2522%252C%2522M%2522%253A%25221%2522%252C%2522L%2522%253A%25221%2522%252C%2522N%2522%253A%25221%2522%257D&original=https%3A%2F%2Fwww.baylor.edu%2Fregistrar%2Findex.php%3Fid%3D84879&linktype=Organic&referrer=&agent=&page=0&mkt=&c=0&d=&td=&n=1&af=1&at=search&AdUnitId=11706971&AdUnitName=Onlyonesearch2&tid=7ca98a99-2178-419e-b460-67bcd6de1660&adPosition=7&isid=&ab_isSticky=&ab_startDate=&ab_endDate=&ab_per=&nu=true&ptv=2&templateName=AdsTags_AdsBlock_algo_side_imagesTab_videoTab_shoppingTab_related_relatedSideBar_imgWidget_videoWidget_productAds_hamburger&templateCounts=0_3_10_0_1_1_0_8_8_1_1_0_1&geo=us&url=http%3A%2F%2Fwww.onlyonesearch.com%2FSearch%2F%3Fgd%3DSY1001284%26l%3D1%26m%3D1%26n%3D1%26q%3Daum%2520undergraduate%2520catalog&displayUrl=https%3A%2F%2Fwww.baylor.edu%2Fregistrar%2Findex.php%3Fid%3D84879&resultType=organic
inurl:index.php?id= site:com,http://www.heinrichs-mt.com/index.php?id=home&L=1
inurl:index.php?id= site:com,https://www.sanidumps.com/maps/index.php?id=1
inurl:index.php?id= site:com,https://dev.springfieldcityhall.com/elections/index.php?id=172
inurl:index.php?id= site:com,http://www.geomultimedia.com/index.php?id=4&L=0
inurl:index.php?id= site:com,https://learning.thefa.com/enrol/index.php?id=112
inurl:index.php?id= site:com,http://www.icrera.com/index.php?id=call
inurl:index.php?id= site:com,http://urbanmushrooms.com/index.php?id=69
